skillDevelopment,location,reviewText,overallScore,workSatisfaction,jobFunction,companyCulture,postedon,pros,careerGrowth,salaryBenefits,company,cons,workLifeBalance,jobSecurity
4,Hyderabad/Secunderabad,"With growing experience, work would be very hectic. The base of Employee hierarchy triangle is being flattened out and hence one person is being assigned multiple projects as well in some cases. If you are fresher you could be on bench for longer times.",3,4,Senior Sap Consultant,2,4-Jan-22,"1. Unlimited opportunities to switch skill when u want to upskill or cross skill. 2. Work from Home (9 days a month) is a company policy for us even before Covid. 3. Work from office (through swipes) can be also be managed through something called ""On-duty"". So by using 2 & 3 we can almost avoid the campus hours. 4. Trainings are good and they push u towards upskilling. 5. Campus - u dont feel like u r in office. Hyd STP campus makes u feel relaxed as if u r in a park once u come out of your building. 6. Most importantly JOB SECURITY.",5,1,Infosys,"1. One thing that overhelms you with disastrous feeling, overcoming all the pros, is EMPLOYEE BENFITS. For ex: when it accomplished 25 years journey, we were given Tshirts, just t shirts with Infosys logo and nothing else. Every year during Diwali, they will give you water bottle etc. etc which gets u the feeling of YUCK. They willask u to be part of recruitment process for an entire day during weekend WITHOUT ANY PAY. 2. They dont pay you with market standards. 3. VERY LESS HIKES - Even if you have an extraordinary profile and got a CTC in par with market standards during joining, u will be left far behind from market standards of ""Experience to CTC"" quotient after few years inside. 4. THIS IS REALLY INTERESTING - When I was the best performer consecutively for 2 years and when the client VICE PRESIDENT by himself shouted loud that this guy is extraordinary they gave me a gift voucher of 500 Rs. That time i got 2% hike after which i had to fight like bull to get what i deserve. 5. Whatever they do, directly/indirectly benefits Infosys but not the employee. 6. You need to be a MARK ZUCKERBURG / STEEVE JOBS for you to get an OUTSTANDING (1+) rating. ( Being best in ur technical capacities to resolve any kind of complex issue, which 99.9% people were not good at in IT industry, will just give you MET EXPECTATIONS (2) rating. U r expected to give service improvement ideas to client and upskill urself every year along with certifications & skill tags. Even that will give you only 1 (Commendable) rating. 7. They dont care to stop even the best of the best techies from moving out. I mean they may ask u but wont offer the same package what u have in hand. THAT IS WHY IT IS IN SECOND PLACE IN THE LIST OF COMPANIES WITH HIGHEST ATTRITION RATE.",3,5
5,,"Its bit hassle for me as a fresher I had to struggle in first year as domain was new to me and we haven't got any training regarding that, Got to learnt a lot while working and then it was smooth. Since 2 year mentoring people in my team.",5,4,System Engineer for 4.1 years in Pune,4,15-Apr-22,"It very good company for the freshers to get trained in world famous corporate training centre in Mysore with world class training modules. Here as an fresher you'll get groomed to the corporate life here you'll meet new people who becomes family more than friends, work culture here is are good, in some projects needs improvement management. You'll less hike percentage in early years. Policies are best here, they take care of each and everything and it benefits you to have secure and stress free work life balance.",4,4,Infosys,"Companies take much time to take any decision. Most of time it delays in promoting employees and provide hike in their salaries, they follow batch rule due to which most of the employee has to wait for next quarter to get hike/promotion. After training in Mysore, they'll assign to any project irrespective of your skills or learningat Mysore. Which change the your whole career path. If you want to choose your own primary technology project then you've to get certified and then only they'll move you else project manager will not release you in most cases.",5,5
1,Bengaluru/Bangalore,"There is no work-life balance now and even before COVID there was none. Pre COVID, only boss' favourites would get WFH. Boss is sadistic so artificial deadlines will spoil your weekends. If you are adept at politics you should definitely join.",1,1,Corporate Strategy Analyst,1,3-Feb-22,Infosys BPM is a service line of Infosys Ltd. So dont mistake it for the actual Infosys. Overall very hierarchial company and most employees are home-growns. You get respect only if you are MBA from IIMs does not matter old IIM or new IIM or baby IIM. The company sells macros calling them automation so you can imagine why senior management expects all analysis and reporting on only Excels.,1,1,Infosys,"If you are male or from IIM or Malayali then only you can expect good projects or growth in Corporate Strategy team at Infosys BPM. The team is managed by two female middle aged ladies who are not even Btech or MBAs but prefer only IIM grads. They are autocratic, unethical, extremely unprofessional who like ppl in the team who can feed their petty politics. And reporting their partial and unethical ways to management are hardly of any use since they are very close to the C-suite. Employee Relations team will close such cases hurriedly without even any proper investigation. But if you can bootlick unabashedly for years you can expect extreme growth. One lady, who cannot use Excel properly, even got CEO award after years of putting up with shit. She was also able to switch over (normally not allowed due to historic hostile relations between Infosys BPM and Infosys Ltd) to parent company Infosys Ltd where she reports into her own HUSBAND!! So, you can imagine the current prevalent culture at all Infosys companies.",1,1
2,Pune,Work like balance is relaxed. There isn't much work to be honest. But get into Infy at the level of a lead or manager when the pay is good.,3,2,Senior System Engineer,2,18-Aug-21,Worked here for more than 3 years. You will be welcomed with an excellent induction program followed by an excellent training. All good things end once you end your training and get deployed to production.,1,1,Infosys,"Post deployment you either slog in bench for months or get allocated to a project, everything depends on your luck. Deployment mostly occurs in very old production support projects with very little to 0 scope of learning. The very lucky once get into development units (FSSTAR, STG, AINADEL) these are some I remember. All other unitsare bodyshops with decades old support projects like for example ORCALL, CISRUN. The bridge programs (PP, Acon) all these are just gimmicks, you will be stuck in a 'yes I will get selected next time' trap. IJP's are terrible, you apply but get no calls from anyone and finally get auto rejected after some days. If you are able to clear any of these two either PP or Acon, believe me you are at the wrong place with a wrong compensation. Try for MBA from tier 1 colleges or start preparing for FAANG interviews. Then comes the famous compensation. You can get 0, 1, 2, 3, 4 or 5% hike depending on how good your relation is with the upper management. Yes they have good campuses, swimming pools , gyms, steam rooms, sauna rooms, fields and green campuses. But these won't put bread and butter on your table at the end of the day. They give you slow old dell laptops which are worthy of becoming antiques in few days. In the era of 11th gen processors and ssds those have 5th or 6th gen proc and slow HDD. And yes good luck raising a replacement request for RAM, laptop or other things. Their internal service center or the so called CCD must be made a government department. Even government offices work faster. I once had to escalate a request to the level of regional manager to get things done. This is level of resistance you get to face. People just don't want to work. Finally if you want my two cents of advice. Complete the training very seriously and then instead of wasting your time start preparing for SDE interviews of product companies. Never waste more than 2 years if you get into units other than the above mentioned development units.",4,4
1,Pune,Did not get to learn new things which i wanted and didn't get trainings which will help to grow in my field. Got false promises that i will be taught new things and nobody cares about your career in the management.,2,2,Senior System Engineer,3,24-Apr-22,Mysore training is one of the best experiences one will get in corporate.,1,1,Infosys,Not a good place to learn and grow They dont give much opportunities in learning and training. If you are a fresher or 2-3years exp nobody cares about your career or growth. They will try to make sure you dont learn much so that you dont switch to a good company and be there for years getting chillars in hike. They will ask for entries for certification paid by the company. when you will give names they will tell your job level is low and we have only funds for higher job level people even if you have worked there for 2 years. It all comes to luck here. your stream your location your unit your project your team your manager. If you are lucky you might get good things but if you luck is not good your career will be in dark and depression will be waiting for you. Try to switch as early as possible if you get good package.when you will resign even if you have given full efforts in your work they will tell we can offer you 10 percent hike and in most cases they wont even bother.,3,5
3,Pune,My Overall experience till now is average as I am working from home so work pressure is not so high but I got very less salary as I was joined in Infosys as a fresher so on this salary and compensation point of view I am not happy with this co,2,2,System Engineer 3,2,21-Apr-22,"I only like the people who are in my team during my project duration. for me client and manager was good but for most of the employees it is not same case. Yes I can say they provide a wonderful training in Mysore campus but due to this covid situation even the training was not so good .. they have a best platform LEX to learn andgrab certification freely , all the best study material present freely on this platform.",3,1,Infosys,"for most of the students salary is more important but Infosys provide very less salary to the freshers, even the hike and compensation is too low, here is only two appraisal cycle but they do increment of some 2 -3 thousands only. and work pressure depends on the project like for some employees it is very high and for some it is moderate or low. they only provide 500 rs coupon code for Zomato or swiggy for the virtual quarter party.",3,4
4,"Pune, Hinjewadi Phase 3","My first team was very good & grateful to work in that team, my first manager/team leader is very good person who help employees & team in any situation. But in covid my process has been rampdown & i was moved into another team, that was a bad",4,3,Sinor Process Excutive,2,9-Apr-22,Great place to work & work environment is great.,1,1,Infosys,"For 88% quality & 130 daily productivity till they put the employees in PIP for a 60 day & providing a unachievable traget to the employees and a traget was set forcefully by the manager/team leader after a employee has decline to achieve a given target and providing us 100 % quality target to achieve the employees in PIP, it is a impossible to achieve a 100 out of 100% given target to the employees in PIP. If a employee is achieved till 95% quality & 130 daily productivity in the PIP and improved is given target below very closely, till they doesn't support the employees & didn't close his/her PIP. After PIP was not cleared by the employees till who is achieved a 95% quality in the PIP, than they tell/ask a employees to forcefully take a resign or about the termination done. Employees has to take a resign/e-separation and leave the office forcefully without his acceptance. The organization doesn't help or support any of employees in the PIP, till who is achieved a 95% quality in the PIP and doesn't help to move any of employees in the another team/project/IJP to the employees who can't clear his/her PIP. They must change there policy.",3,1
4,Pune,"Good , got a lot to learn from my project",5,4,Senior Associate Consultant,5,14-Apr-22,"Policy wise Infosys is very good , I was lucky to get a project where I got to work on latest technologies and based on this experience got a good hike from the next company. Infosys is very good , no doubt about that - at the end everything depends on the project you get - your project decides the scope of your technical growth . Also when I was on bench , there was a fantastic program which I was involved into called Accelerate , it's like working in a project itself - the projects let out their tasks for people on bench to improve their skills and it was very useful. It never felt like I am on bench and idle , lot of opportunities present. Also lot of onsite opportunities, many of my team mates got onsite opportunity, I didn't take for personal reasons",4,5,Infosys,"Getting release from a project should not be obstructed by managers , attrition rate is high because people don't like project and the work they are doing - nowadays people don't think twice about their profile getting ruined before resigning if they're not happy with the work they do - And money is not the only thing for which people change jobs",4,5
3,Chandigarh,,4,3,Senior Systems Engineer,4,20-Mar-22,I joined Infosys as a fresher. Training period here is one of the best experience you can get. After training ends the real corporate life starts and that does not have anything to do with your training. You can get aligned with any project which I think is a good way to get experience in different technologies. Like I got training in BI/SSIS/SSRS and then later got a project in Informatica. Overall it was a nice 3 years for me. To get a clear picture of how a corporate world look like you can join here. Great learning experience and a decent option to start your corporate life.,3,2,Infosys,Chances of growth are very low even after 1 year of probation period. It becomes very difficult to move out of one project and switch to other. Managers are like old school who have their own theories and poor management skills like in the replacement of 8-10 years experienced person(TL) they will bring a complete fresher into the project which eventually increase pressure on rest of the team as workload increases and in the end due to imbalance in team rest of the people also leave (this is my personal experience).,3,5
5,,,5,3,Systems Engineer -Java for 1.4 years in Hyderabad,4,1-Apr-22,The best part of working in a multinational company is they have a great infrastructure and lot to learn. We have great opportunity to upskill our skills if we are not suitable for a role they offer. They patiently train us and give us the role. This mean we have lot of job security joining there.,2,1,Infosys,If you join Infosys as a fresher you know you are a person who like to take up challenges. The training is so difficult. If you fall in a developement project with no proper knowledge transfer sessions you are done. Only if you are a genius you will be able to understand their flow. And also the shift times are vague when it comes towork from home. If there is a bug we have to solve it as soon as possible as the client may be unhappy. They are always more concerned about client satisfaction than employees expectations. The salary growth is also very slow and minimal percentage.,1,5
5,Pune,"I am working for FNSP unit, Honestly I met some early good people as well as some really opposite people just like life. Firstly I thought it's not a good unit to start but later on I realized that it is good for people who wants stability.",4,3,System Engineer,5,24-Mar-22,"Job Security , work culture and company policies as well as training of Infosys is world class, I would definitely recommend a non IT fresher to join Infosys. I must say ""TRAINING IS THE BEST PART OF INFOSYS AS IT CLEAR CONCEPT AND TRAINED US IN SHAPE FOR WHOLE LIFE"".",3,2,Infosys,I wish they provide us option to choose technology or project after few months but It has so many factors due to which it's not possible in many cases like me. but still whatever is project we learned a lot.,4,5
5,Bhuvaneshwar,"'Great' for a fresher. Those 4 months of training were the best. After training, got relocated based on preferences. Got mapped to first project during WFH. The learning continued as we grew with the team under the guidance of some excellent m",4,3,Senior System Engineer,5,7-Apr-22,#NAME?,3,4,Infosys,- Random project allotment with little to no relation with initial training - Slow career growth - Low salary increments - 90 days notice period,4,4
5,Hyderabad/Secunderabad,Senior System Engineer,3,1,Senior Systems Engineer,4,1-Sep-21,#NAME?,2,3,Infosys,"cons, yes there, as like every other company, the behavior of manager in my first project i have never came across such kind of mentality person in my 5 years in IT industry. even added to my bad luck we were doing WFH and he used to take status for every one hour unscheduled calls, we don't even get the time for taking lunch usedto work on weekends without any compensation. Too much micro management and used to blackmail us like will keep you i PIP if the work is not done at EOD even if we take the issue to the HR no use they will always support manager By gods grace i escaped from the project and got mapped to new which is fine and cool .management and teams every one are good. Although it might be different from one project to other there should be some professionality criteria for managers that should be followed he should not treat employees like his slaves which infosys lacks",3,4
4,Hydrabad,"In Hydabad DC, Finishing team not good. I expected as MNC, in this organization would not preferred for local language. But in internal team it is. Daily changing scope of the project, affects the quality. And they get the reason for no i",3,2,Process Specialist,3,23-Mar-22,"Have a lex app, where you can continue gaining knowledge in any field. We can change domain. We can choose the location in IJP process. We can enjoy learning.",2,2,Infosys,I am getting language issues while working in. Team members Always talks in local language for official work also. Mostly faced partially between local and non local employees. Always ask for extend the shift. 2-3 times in a week. Saturday working. No Friday fun. No celebration on occasional day. Only focusing on work! Work!! Work!!!,3,4
4,Bengaluru/Bangalore,,4,3,Product Development Engineer,4,12-Apr-22,"The work is good and we get a chance to work and learn on a good product. Got to learn a lot about security, redundancy and other features which should be present in any worldclass product. There are onsite opportunities. Good work life balance. Also got a chance to learn and work with a smart and intelligent crowd. Udemy corporate account for skill development (Unlimited courses).",3,2,Infosys,"Compensation is what one would expect from a service based company (Its an Infosys subsidiary). Being a product based company there should be competitive compensation benefits. Major division of product between teams limits the amount of learnings and experience for a developer. Many of the management policies are similar to a service based company, there should be a change in that.",4,5
4,Bangalore,"I am a frontend developer, who needs to complete client tasks as planned. I have to contribute to my account, by participating in recruitment drives and selecting candidates.",4,3,Technology Analyst,4,18-Apr-22,"Mainly campus is the first thing you like in Infosys, Job security there, there are vast sources to learn new things. Work-life balance based on your project depends.",3,3,Infosys,"1. Compensation or hike you won't get nicely as per industry standards. 2. Shifting career from a different one, it will take more than 1 year after completing your certifications and not easy also 3. Average time policy is there, for quarterly average your working hours less than 9 hours 15 mins means, half the leave will be deducted. If you got a nice manager, it is not an issue. 4. Health policy for parents is you have to pay. 5. Food coupon also you have to use with in campus.",5,5
5,Pune,,5,3,Associate Practice Manger IT Services APAC,5,21-Apr-22,"First of all, the working environment especially the campuses are way beyond par. Your develop a sense of belonging which possibly will be forever etched into our memories for life. That said the Top management DNA of the large group is pretty traditional and a bit old school. At many times the speed and agility of decision making isimpacted hence thereby leading to a rather dragged (frustrating at times!)execution of initiatives, implementations, etc. Compensations and increments are pretty average but does foster high performers through many forums for recognition viz AFE, etc. Overall, a great place to be. Top management however must think seriously on getting more new age to beat competition and sustain.",4,3,Infosys,,4,5
5,,The work life at Infosys is very interesting.At the joining time I was struggled for one week because there are no continuous training sessions.I got a chance to work in project after completion of training.It is very interesting to work on agile methodol,5,5,System Engineer 3 for 5 months in Hyderabad,5,22-Apr-22,"The company policies are very good,they are giving best training for the freshers and providing sufficient hikes and bonus.Actually now I am in virtual mode,so i don't know how the work culture is but in virtual mode also the team mates are supportive and the management is also excellent as they are giving best of their knowledge.Acccording to these the work culture is very good.",5,4,Infosys,Work days:,4,4
2,Hyderabad/Secunderabad,"It's extremely dull, the salary is insanely low, but when you do get projects, it's really underpaid, the notice period is 3 months, there's little to no growth Trained as a PLM Engineer, but I don't see any projects so waiting in bench",3,1,System Engineer Trainee,4,7-Apr-22,"Job security, professionalism, management, company policies, help desk, connections, problem resolution",2,1,Infosys,"Lowest Salary, training is given by newbies, very little career growth, 3 months notice period, 1 year bond for basic posts, no one really knows what's really happening, teammates are not as innovative or professional or responsible, long bench periods, low projects, high number of employees and intakes with no work",3,4
5,Chennai,Excelllent,5,4,Technical Test Lead,5,18-Apr-22,"Policies are clearly communicated, learning opportunities are excellent, good job security, work culture is good but it depends on the project, client and requirements. Management hierarchy is good, you have all the options to go to next level in case of concerns. Its all addressed in a neutral way. Over all very good to work with.",5,3,Infosys,Less Compensation compared to market value. You need to do more followups and have fighting spirit to project yourself and get what you want. People wont prefer to stay for longer due to low Compensation and benefits.,4,5
